"Country","Age group","Gender","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Data as of","Outbreak identifier","Display Value","Numeric","Low","High","Comments"
"Liberia","","","RIVERCESS","Number of cases","Confirmed","Patient database","27 October to 09 November 2014 (2014-W45)","New","Data package 2016-05-11","","","14","14.00000","","",""
"Liberia","","","GRAND CAPE MOUNT","Number of cases","Probable","Situation report","28 July to 03 August 2014 (2014-W31)","New","Data package 2016-05-11","","","","","","",""
"Liberia","","","GRAND GEDEH","Number of cases","Probable","Patient database","22 to 28 June 2015 (2015-W26)","New","Data package 2016-05-11","","","","","","",""
"Liberia","","","GBARPOLU","Number of cases","Probable","Patient database","10 to 16 March 2014 (2014-W11)","New","Data package 2016-05-11","","","","","","",""
"Liberia","","","GBARPOLU","Number of cases","Probable","Situation report","02 to 08 February 2015 (2015-W06)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Liberia","","","NIMBA","Number of cases","Confirmed","Patient database","15 to 21 September 2014 (2014-W38)","New","Data package 2016-05-11","","","12","12.00000","","",""
"Liberia","","","MARGIBI","Number of cases","Confirmed","Situation report","16 to 22 February 2015 (2015-W08)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Liberia","","","MARGIBI","Number of cases","Probable","Situation report","18 to 24 April 2016 (2016-W16)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Liberia","","","NIMBA","Number of cases","Probable","Patient database","10 to 16 November 2014 (2014-W46)","New","Data package 2016-05-11","","","1","1.00000","","",""
"Liberia","","","SINOE","Number of cases","Probable","Situation report","09 to 15 June 2014 (2014-W24)","New","Data package 2016-05-11","","","","","","",""
"Liberia","","","LOFA","Number of cases","Confirmed","Patient database","15 to 21 February 2016 (2016-W07)","New","Data package 2016-05-11","","","","","","",""
"Liberia","","","GRAND KRU","Number of cases","Probable","Situation report","09 to 15 November 2015 (2015-W46)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Liberia","","","GRAND CAPE MOUNT","Number of cases","Confirmed","Situation report","02 to 08 June 2014 (2014-W23)","New","Data package 2016-05-11","","","","","","",""
