"Country","Age group","Gender","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Data as of","Outbreak identifier","Display Value","Numeric","Low","High","Comments"
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Probable","Situation report","27 July to 02 August 2015 (2015-W31)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Probable","Patient database","01 to 07 September 2014 (2014-W36)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Probable","Patient database","07 to 13 September 2015 (2015-W37)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Probable","Patient database","21 to 27 April 2014 (2014-W17)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Situation report","20 to 26 January 2014 (2014-W04)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Confirmed","Patient database","07 to 13 December 2015 (2015-W50)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Patient database","13 to 19 April 2015 (2015-W16)","New","Data package 2016-05-11","","","1","1.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Confirmed","Situation report","26 October to 01 November 2015 (2015-W44)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Situation report","11 to 17 January 2016 (2016-W02)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Probable","Patient database","26 January to 01 February 2015 (2015-W05)","New","Data package 2016-05-11","","","7","7.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Patient database","10 to 16 February 2014 (2014-W07)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Situation report","26 January to 01 February 2015 (2015-W05)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Probable","Situation report","12 to 18 May 2014 (2014-W20)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Probable","Patient database","01 to 07 February 2016 (2016-W05)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","","Number of cases","Confirmed","Patient database","05 to 11 May 2014 (2014-W19)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Patient database","02 to 08 May 2016 (2016-W18)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Probable","Patient database","31 March to 06 April 2014 (2014-W14)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BO","Number of cases","Confirmed","Situation report","16 to 22 June 2014 (2014-W25)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Situation report","02 to 08 November 2015 (2015-W45)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Confirmed","Situation report","11 to 17 August 2014 (2014-W33)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Situation report","25 April to 01 May 2016 (2016-W17)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Confirmed","Situation report","28 December 2015 to 03 January 2016 (2015-W53)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","","Number of deaths","Confirmed","","","Cumulative","Data package 2016-05-11","7 November 2015","EVD West Africa 2014","3589","3589.00000","","","The outbreak in Sierra Leone was declared over on 7 November 2015. Due to ongoing surveillance and retrospective validation of cases and deaths, these totals may be subject to revision."
"Sierra Leone","","","BO","Number of cases","Confirmed","Patient database","30 December 2013 to 05 January 2014 (2014-W01)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Situation report","07 to 13 March 2016 (2016-W10)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Patient database","16 to 22 February 2015 (2015-W08)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Probable","Patient database","10 to 16 November 2014 (2014-W46)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Probable","Situation report","11 to 17 January 2016 (2016-W02)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Patient database","03 to 09 March 2014 (2014-W10)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","","Number of cases","Confirmed","Patient database","15 to 21 February 2016 (2016-W07)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Probable","Patient database","15 to 21 September 2014 (2014-W38)","New","Data package 2016-05-11","","","19","19.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Patient database","16 to 22 June 2014 (2014-W25)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Confirmed","Patient database","22 to 28 June 2015 (2015-W26)","New","Data package 2016-05-11","","","5","5.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Patient database","02 to 08 May 2016 (2016-W18)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Situation report","23 to 29 November 2015 (2015-W48)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BO","Number of cases","Confirmed","Patient database","12 to 18 October 2015 (2015-W42)","New","Data package 2016-05-11","","","","","","",""
